tables_involved,column_names,alias_column_name,source_or_derived,derived_column_logic,column_datatype,extra,comment
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,DATE,DATE,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,Feature_name,Feature_name,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,banner_id,banner_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,campaign_id,campaign_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,campaign_type,campaign_type,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,category,category,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,clicks,clicks,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,cust_id,cust_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,customer_id,customer_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,customer_id_payer,customer_id_payer,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,day_id,day_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,dl_last_updated,dl_last_updated,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,dt,dt,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,feature_name,feature_name,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,feature_name,type,derived,'Bank Linking' AS type,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,impressions,impressions,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,lite_dt,lite_dt,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,measurement_label,measurement_label,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,payee_customer_id,payee_customer_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,payer_account_type,payer_account_type,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,payer_cust_id,payer_cust_id,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,payer_handle,payer_handle,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,priority,priority,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,split_field_dl_last_updated,split_field_dl_last_updated,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,status,status,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,storefront_name,storefront_name,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,total_delivered,total_delivered,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,total_opened,total_opened,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,transaction_date_key,transaction_date_key,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,transaction_type,transaction_type,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,view_name,view_name,source,,,,
featurehub.enterprise.UPI_FeatureAdoption_Olap_Daily_v3,view_type,view_type,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,DATE,DATE,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,banner_id,banner_id,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,campaign_id,campaign_id,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,campaign_type,campaign_type,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,category,category,source,,varchar,,
hive.cdo.fact_upi_transactions_snapshot_v3,clicks,clicks,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id,customer_id,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id_payer,customer_id_payer,source,,varchar,,
hive.cdo.fact_upi_transactions_snapshot_v3,day_id,day_id,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,dl_last_updated,dl_last_updated,source,,date,,
hive.cdo.fact_upi_transactions_snapshot_v3,dt,dt,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,feature_name,feature_name,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,impressions,impressions,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,lite_dt,lite_dt,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,measurement_label,measurement_label,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,payer_account_type,payer_account_type,source,,varchar,,
hive.cdo.fact_upi_transactions_snapshot_v3,payer_cust_id,payer_cust_id,source,,,,
hive.cdo.fact_upi_transactions_snapshot_v3,payer_handle,payer_handle,source,,varchar,,
