table_name,column_name,variable_type,column_description,required_flag
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,category,,"A classification column that categorizes online merchants into different business segments or merchant types, used for grouping and analyzing payment performance metrics such as DAU, transactions, GMV, and net revenue in the Paytm payments dashboard.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,channel,varchar(44),The channel column identifies the specific payment or transaction channel through which users interact with the Paytm platform. This categorical field is used in merchant-level analytics to track and analyze user acquisition and reactivation patterns across different channels.,no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,cust_id,varchar,A unique customer identifier used to track individual customers in Paytm payment transactions and user behavior analysis. This field serves as the primary key for customer-level aggregations in rolling Net Revenue Retention calculations and user growth metrics tracking.,yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,customer_id,,"Unique identifier for customers making payments through the Paytm platform, used to track user behavior patterns, categorize users as new/repeat/reactivated, and calculate monthly growth metrics in the Net Revenue Retention analysis.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,day_id,,A date identifier column that serves as the primary time dimension for analyzing day-over-day user acquisition and reactivation metrics in Paytm payments data. This column enables month-to-date and last-month-to-date comparisons for tracking new user growth and react user patterns.,yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,dt,date,"The transaction date field that serves as the primary time dimension for tracking user payment activities and calculating month-to-date vs last month-to-date comparisons in Net Revenue Retention analysis. This date is used to categorize users as new, repeat, or reactivated (React 2M+) users within specific time periods for business growth metrics.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,final_category,,"Final categorization or classification field used to segment users or transactions in the payment analytics pipeline, likely representing the processed user type or business category after applying NRR (Net Revenue Retention) logic and business rules.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,online_merchant_name,,"The name identifier for third-party online merchants in Paytm's payment ecosystem, used as a primary grouping dimension to analyze and compare merchant performance across key business metrics like user activity, transaction volumes, and revenue.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,payee_vpa,,"Virtual Payment Address (VPA) of the payee (recipient/merchant) in UPI transactions, used to identify which merchants are receiving payments in the context of user growth and retention analytics.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,payer_cust_id,,"Unique identifier for customers who make payments through the Paytm platform, used in rolling Net Revenue Retention analysis to track user behavior and calculate month-to-date payment metrics across different user segments.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,txn_date,,"The transaction date field that serves as the primary temporal dimension for filtering and analyzing payment transaction data in MTD and LMTD business performance comparisons. This date field is used to calculate rolling NRR metrics and enables time-based segmentation of user activity, transaction volumes, and GMV performance.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,txn_timestamp,,"Records the exact date and time when each payment transaction occurred, serving as the primary temporal dimension for calculating rolling averages, period-over-period growth metrics, and time-based aggregations in payment analytics dashboards.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,user_type,varchar(11),"Categorizes Paytm users into behavioral segments: 'New' (first-time users), 'Repeat' (returning users), or 'React_2M+' (reactivated users after 2+ months of inactivity). This segmentation is used in business analytics to track user acquisition, retention, and reactivation patterns across MTD and LMTD performance metrics.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,category,,"This column categorizes Paytm payment users into segments such as 'New', 'Repeat', and 'React_2M+' based on their transaction behavior and engagement patterns. It is primarily used in business analytics to track user acquisition, reactivation metrics, and calculate growth rates for different user cohorts in monthly reporting.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,channel,varchar(44),Represents the payment or transaction channel through which online merchant transactions are processed. This column is used to categorize and analyze merchant performance metrics across different channel types in the payment ecosystem.,no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,cust_id,varchar,"Unique identifier for customers making payments through the Paytm platform, used to track user behavior and calculate key business metrics like user growth, transaction patterns, and revenue retention across monthly time periods.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,customer_id,,"Unique identifier for customers in the Paytm payments system, used to track user behavior and calculate metrics like new users, reactivated users, and growth rates across monthly time periods. This field serves as the primary key for aggregating payment transaction data and analyzing customer segments in retention and growth analytics.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,day_id,,A date identifier column that serves as the primary temporal dimension for tracking and analyzing user payment metrics across different time periods in the context of Net Revenue Retention calculations and merchant-level day-over-day performance analysis.,yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,dt,date,"Date column used as the primary time dimension for calculating daily, weekly, and monthly payment metrics including DAU (Daily Active Users), transaction volumes, GMV, and net revenue across different time periods in the online payments analytics dashboard.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,final_category,,"Classification column that categorizes users into different behavioral segments such as new users, reactivated users, and other user types for month-to-date and historical period comparisons in payment analytics and merchant performance tracking.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,online_merchant_name,,"Identifier for third-party online merchant partners in Paytm's payment ecosystem, used to segment and analyze key business performance metrics including user activity, transactions, and revenue across different merchant entities.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,payee_vpa,,"Virtual Payment Address (VPA) identifier for the payment recipient in UPI transactions, used for identifying the payee in the payments ecosystem but not directly utilized in the current merchant performance dashboard metrics.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,payer_cust_id,,"Unique identifier for the customer who initiated or made the payment transaction. This column serves as the primary customer reference in payment analytics and is used to track customer behavior across various metrics like DAU, transaction volumes, and revenue generation.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,txn_date,,"The transaction date field that serves as the primary temporal dimension for filtering and analyzing Paytm payment transactions within specific time periods, enabling month-to-date and period-over-period performance comparisons in the rolling NRR analysis.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,txn_timestamp,,"Timestamp field that records when payment transactions occurred, used as the primary temporal dimension for calculating daily, weekly, and monthly business metrics including DAU, transaction volumes, GMV, and revenue aggregations in the 3rd party online merchant analytics dashboard.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_cm_10_logic,user_type,varchar(11),"Categorizes users based on their transaction history, with values including 'New' for first-time users, 'Repeat' for returning users, and 'React_2M+' for reactivated users who hadn't transacted in 2+ months. This segmentation is used for analyzing user acquisition and reactivation metrics in payment transaction analysis.",no
hive.user_paytm_payments.rolling_nrr_v1,LMTD_New_Users,,"Represents the count of new users acquired during the same period in the previous month (Last Month-to-Date), used as a baseline for calculating month-over-month new user growth rates and performance comparisons in payment transaction analytics.",no
hive.user_paytm_payments.rolling_nrr_v1,LMTD_React2Mplus_Users,,"Represents the count of users who were reactivated and became M+ (premium) users during the same date range in the previous month (Last Month-to-Date), used as a baseline for calculating month-over-month growth rates in user reactivation metrics at the merchant level.",no
hive.user_paytm_payments.rolling_nrr_v1,MTD_New_Users,,Month-to-date count of new users who made their first payment transaction in the current month period. This metric is used to track new user acquisition performance and calculate growth rates compared to the same period in the previous month.,no
hive.user_paytm_payments.rolling_nrr_v1,MTD_React2Mplus_Users,,Month-to-date count of reactivated users who returned to make payments after being inactive for 2 or more months. This metric is used to track user reactivation performance and calculate growth rates compared to the previous month's same period.,no
hive.user_paytm_payments.rolling_nrr_v1,category,,"Categorizes Paytm payment users into engagement segments: 'New' for first-time users, 'Repeat' for returning users, and 'React_2M+' for users who return after being inactive for 2+ months. This segmentation is used in Net Revenue Retention analysis to track user lifecycle patterns and calculate growth metrics across different user cohorts.",no
hive.user_paytm_payments.rolling_nrr_v1,channel,,"Identifies the payment or user acquisition channel through which Paytm transactions occur, used for segmenting users into categories like new users, repeat users, and reactivated users for Net Revenue Retention analysis.",no
hive.user_paytm_payments.rolling_nrr_v1,cust_id,,"Customer identifier used for tracking and analyzing customer behavior in the context of merchant performance metrics and net revenue retention calculations. This column serves as a key for aggregating customer-level data into merchant-level analytics including daily/monthly active users, transaction volumes, and revenue metrics.",yes
hive.user_paytm_payments.rolling_nrr_v1,customer_id,varchar,"A unique identifier for customers in the payments system, used to track and aggregate various business metrics including daily/monthly active users, transaction volumes, gross merchandise value, and net revenue across different time periods for rolling net revenue retention analysis.",yes
hive.user_paytm_payments.rolling_nrr_v1,day_id,,"A date identifier column that serves as the primary time dimension for tracking daily business metrics and calculating rolling averages, month-to-date, and period-over-period growth rates for key performance indicators like DAU, transactions, GMV, and net revenue.",yes
hive.user_paytm_payments.rolling_nrr_v1,dt,,Date field that serves as the primary time dimension for tracking user acquisition and reactivation metrics in the rolling Net Revenue Retention analysis. Used for calculating Month-to-Date (MTD) and Last Month-to-Date (LMTD) comparisons of new and reactivated user growth.,yes
hive.user_paytm_payments.rolling_nrr_v1,final_category,,"Represents the final user categorization for Paytm payment users, classifying them into segments such as 'New', 'Repeat', or 'React_2M+' based on their payment behavior patterns. This categorization is used to track user acquisition, retention, and reactivation metrics in month-over-month growth analysis.",no
hive.user_paytm_payments.rolling_nrr_v1,online_merchant_name,,"Identifies the name of the online merchant in the Paytm payments ecosystem, used as a filter dimension for merchant-level analysis of user acquisition and retention metrics. This column enables drilling down into specific merchant performance within the rolling NRR dashboard.",no
hive.user_paytm_payments.rolling_nrr_v1,payee_vpa,,"Virtual Payment Address (VPA) of the payee/merchant receiving payments, used to identify and track merchant-level user acquisition and reactivation metrics in the rolling Net Revenue Retention analysis.",no
hive.user_paytm_payments.rolling_nrr_v1,payer_cust_id,,"Unique identifier for customers who make payments through the Paytm platform, used to track user behavior patterns and categorize customers into segments like new, repeat, and reactivated users for growth analysis.",yes
hive.user_paytm_payments.rolling_nrr_v1,txn_date,date,"The transaction date used to track and analyze user payment activities over time, serving as the primary temporal dimension for calculating month-to-date and period-over-period growth metrics for new and returning users in the rolling NRR analysis.",yes
hive.user_paytm_payments.rolling_nrr_v1,txn_timestamp,,"The timestamp when a transaction occurred, used for filtering and grouping payment transactions by date ranges to calculate month-to-date (MTD) and last-month-to-date (LMTD) business metrics in rolling net revenue retention analysis.",yes
hive.user_paytm_payments.rolling_nrr_v1,user_type,varchar(9),"Categorizes Paytm payment users by their transaction behavior, with values including 'New' (first-time users), 'Repeat' (returning users), and 'React_2M+' (users reactivated after 2+ months of inactivity). This segmentation is used for analyzing user engagement patterns and growth metrics in payment transaction reporting.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,category,,"A classification field that categorizes merchants or transactions into different business segments (Live, Non-Live, Top 15, Top 1K, Overall) for Monthly Transacting User (MTU) analysis and merchant performance reporting in UPI payment transactions.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,channel,,The channel column represents the payment channel or platform type used for UPI transactions in the merchant VPA mapping system. This field enables segmentation and analysis of merchant performance across different payment channels within the Paytm ecosystem.,no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,cust_id,,"Customer identifier used to track unique Monthly Transacting Users (MTU) across different merchant categories in UPI third-party online payment transactions. This column enables segmentation analysis of user activity by merchant groups including live merchants, top merchants, and overall transaction patterns.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,customer_id,,"Unique identifier for customers making UPI payments through third-party merchants, used to track user behavior patterns and calculate user type classifications (new, repeat, reactivated users) for business analytics and growth metrics.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,day_id,,"A date identifier column that serves as the primary time dimension for tracking and aggregating daily merchant payment metrics, enabling time-based calculations for MTD, LMTD, and growth rate analyses in the 3P online merchant performance dashboard.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,dt,,"Date column used for temporal analysis and time-series reporting of UPI 3P online merchant payment metrics. This field enables dashboard calculations for daily, weekly, monthly, and growth trend analysis across key business KPIs.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,final_category,,"A classification column that categorizes users into final business segments (New, Repeat, React_2M+) based on their transaction patterns and user lifecycle status. This column is used to track user acquisition metrics and measure growth in new user adoption versus user reactivation in payment transactions.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,online_merchant_name,varchar,"Contains the name of online merchants that process UPI payments through third-party payment systems, used to categorize and analyze Monthly Transacting Users (MTU) across different merchant tiers including live merchants, top 15 performers, and top 1K merchants.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,payee_vpa,varchar,"Virtual Payment Address (VPA) of the payee in UPI transactions, used to map and identify online merchants in third-party payment processing scenarios. This field stores the unique UPI identifier (e.g., merchant@bank) that serves as the destination address for payments made to online merchants.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,payer_cust_id,,Unique identifier for the customer who is making the payment transaction through UPI 3rd party online merchant channels. This column is used to track and categorize users as new or reactivated customers for merchant-level user growth analytics and payment behavior analysis.,yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,txn_date,,"Transaction date field used for time-based analysis and aggregation of UPI third-party online merchant payment data. This column enables daily, weekly, and monthly trend analysis for metrics like DAU, transaction volume, GMV, and net revenue across merchant VPA mappings.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,txn_timestamp,,"Records the timestamp when a UPI payment transaction occurred, used primarily for temporal analysis and user segmentation based on transaction timing patterns (MTD vs LMTD comparisons).",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,user_type,,"Categorizes users based on their transaction behavior, distinguishing between new users, repeat users, and reactivated users (React_2M+) who haven't transacted in 2+ months. This classification is used to track user acquisition and reactivation metrics for UPI merchant payments.",no
hive.user_paytm_payments.upi_abhay,channel,,"Represents the payment or user acquisition channel used in UPI transactions, enabling merchant-level analysis and segmentation of new, repeat, and reactivated users for business performance tracking.",no
hive.user_paytm_payments.upi_abhay,cust_id,,"Unique customer identifier for the payer in UPI transactions, used to calculate Monthly Transacting Users (MTU) metrics across different merchant categories including live merchants, top-tier merchants, and overall transaction patterns.",yes
hive.user_paytm_payments.upi_abhay,customer_id,,"Unique identifier for customers making UPI payments through Paytm, used to track and analyze user behavior patterns including new user acquisition and user reactivation metrics across different time periods.",yes
hive.user_paytm_payments.upi_abhay,day_id,date,"A date field representing the transaction or event date used for time-based grouping and analysis of user acquisition metrics in the UPI payment system. This column serves as the primary date dimension for calculating daily, monthly, and comparative growth trends for new and reactivated Paytm users.",yes
hive.user_paytm_payments.upi_abhay,dt,,"Date field representing the transaction or record date in the UPI payments table, used for time-based filtering and aggregations to calculate month-to-date and period-over-period user growth metrics.",yes
hive.user_paytm_payments.upi_abhay,final_category,varchar(6),"A categorical field that classifies UPI transactions based on merchant type and business significance, used to segment Monthly Transacting Users (MTU) into categories like live merchants, top-tier merchants, and overall transaction patterns for business analytics and reporting.",no
hive.user_paytm_payments.upi_abhay,online_merchant_name,varchar,"Stores the name of the online merchant or business where UPI payments are processed, used for categorizing transactions by merchant groups and analyzing Monthly Transacting User (MTU) patterns across different merchant tiers.",no
hive.user_paytm_payments.upi_abhay,payee_vpa,varchar,"Virtual Payment Address (VPA) of the payee/merchant receiving the UPI payment, used to identify and categorize transactions by different merchants for calculating Monthly Transacting User (MTU) metrics across various merchant segments.",no
hive.user_paytm_payments.upi_abhay,payer_cust_id,varchar,"A unique varchar identifier for customers who make UPI payments through Paytm, used to track and analyze user behavior patterns including new, repeat, and reactivated users across different time periods for growth metrics and merchant-level reporting.",yes
hive.user_paytm_payments.upi_abhay,txn_date,,"The transaction date field that records when each UPI payment transaction occurred, used as the primary temporal dimension for analyzing user acquisition and reactivation trends across different time periods in merchant-level reporting.",yes
hive.user_paytm_payments.upi_abhay,txn_timestamp,timestamp(3),"Records the precise timestamp (with millisecond precision) when each UPI transaction occurred, used for temporal analysis to calculate month-to-date and historical user growth metrics by segmenting transactions into specific time periods.",yes
hive.user_paytm_payments.upi_abhay,user_type,,"Categorizes Paytm payment users into engagement segments: 'New' for first-time users, 'Repeat' for returning users, and 'React_2M+' for users who have reactivated after 2+ months of inactivity. This segmentation is used to analyze user behavior patterns and track growth metrics across different user cohorts in payment transaction analytics.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,dl_last_updated,,"Timestamp indicating when the record was last updated in the data pipeline, used for tracking data freshness and ETL audit purposes in the UPI 3rd party online merchant VPA mapping table.",yes
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,n_txns,,"Number of transactions processed by online merchants through UPI payment system, used for calculating daily, weekly, and monthly transaction volume metrics and growth rates in merchant performance dashboards.",no
hive.user_paytm_payments.upi_3p_online_merchant_vpa_mapping,txn_id,,"Unique transaction identifier used for counting and aggregating UPI payment transactions in the online merchant VPA mapping analysis, particularly for identifying missing merchant name mappings.",yes
hive.user_paytm_payments.upi_flow_wise_base_cm,dl_last_updated,date,"A date column that tracks when each record was last updated in the data lake, commonly used for filtering recent data and ensuring data freshness in analytical queries.",yes
hive.user_paytm_payments.upi_flow_wise_base_cm,final_category,varchar(6),"A categorical field that classifies UPI transactions by their transaction type or flow, with 'Online' being used to identify transactions made to online merchants as opposed to other transaction categories like P2P or offline payments.",no
hive.user_paytm_payments.upi_flow_wise_base_cm,n_txns,,"Number of UPI transactions aggregated by payee VPA and merchant, used to identify high-volume online payment flows (>100 transactions) that lack proper merchant VPA mapping in the system.",no
hive.user_paytm_payments.upi_flow_wise_base_cm,online_merchant_name,varchar,"The name of the online merchant associated with UPI transactions, used to identify and categorize online payment recipients for transaction analysis and VPA mapping validation.",no
hive.user_paytm_payments.upi_flow_wise_base_cm,payee_vpa,varchar,"Virtual Payment Address (VPA) of the payee in UPI transactions, used to identify and map online merchants for transaction categorization and analysis.",no
