tables_involved,column_names,alias_column_name,source_or_derived,derived_column_logic,column_datatype,extra,comment
hive.code.campaign_snapshot_v3,amount,amount,source,,,,
hive.code.campaign_snapshot_v3,campaign,campaign,source,,varchar,,
hive.code.campaign_snapshot_v3,created_at,created_at,source,,timestamp(3),,
hive.code.campaign_snapshot_v3,dl_last_updated,dl_last_updated,source,,date,,
hive.code.campaign_snapshot_v3,fulfillment_status,fulfillment_status,source,,,,
hive.code.campaign_snapshot_v3,id,id,source,,bigint,,
hive.code.campaign_snapshot_v3,info,info,source,,varchar,,
hive.code.campaign_snapshot_v3,redemption_type,redemption_type,source,,varchar,,
hive.code.campaign_snapshot_v3,status,status,source,,,,
hive.code.campaign_snapshot_v3,updated_at,updated_at,source,,timestamp(3),,
hive.code.campaign_snapshot_v3,user_id,user_id,source,,,,
hive.code.campaign_snapshot_v3,wallet,wallet,source,,varchar,,
hive.promocad.supercash_task_snapshot_v3,user_id,Cashback,derived,count(DISTINCT user_id),,,
hive.promocard.supercash_task_snapshot_v3,amount,SUM(cashburn),derived,sum(cashburn),"decimal(8,2)",,
hive.promocard.supercash_task_snapshot_v3,amount,amount,source,,"decimal(8,2)",,
hive.promocard.supercash_task_snapshot_v3,amount,cashburn,derived,(case when a.redemption_type = 'coins' then (a.amount/166.67) when a.redemption_type = 'goldcoins' then (a.amount/100) when a.redemption_type = 'upi' then (a.amount+0.2478) else a.amount end),"decimal(8,2)",,
hive.promocard.supercash_task_snapshot_v3,campaign,campaign,source,,varchar,,
hive.promocard.supercash_task_snapshot_v3,cashburn,Cashback,derived,sum(cashburn),,,
hive.promocard.supercash_task_snapshot_v3,created_at,Date,derived,date(created_at),timestamp(3),,
hive.promocard.supercash_task_snapshot_v3,created_at,created_at,source,,timestamp(3),,
hive.promocard.supercash_task_snapshot_v3,dl_last_updated,Date,derived,date(dl_last_updated),date,,
hive.promocard.supercash_task_snapshot_v3,dl_last_updated,dl_last_updated,source,,date,,
hive.promocard.supercash_task_snapshot_v3,fulfillment_status,fulfillment_status,source,,integer,,
hive.promocard.supercash_task_snapshot_v3,id,id,source,,"decimal(20,0)",,
hive.promocard.supercash_task_snapshot_v3,info,info,source,,varchar,,
hive.promocard.supercash_task_snapshot_v3,info,scratchCardId,derived,"json_extract_scalar(info, '$.scratchCardId')",varchar,,
hive.promocard.supercash_task_snapshot_v3,info,scratched,derived,"json_extract_scalar(info, '$.scratched')",varchar,,
hive.promocard.supercash_task_snapshot_v3,redemption_type,redemption_type,source,,varchar,,
hive.promocard.supercash_task_snapshot_v3,status,Status,derived,case when a.status = 1 and a.fulfillment_status = 3 then 'Given' when a.status = 1 and a.fulfillment_status = 2 then 'Processing' when a.status = 2 and a.fulfillment_status = 1 then 'Unscratched' when a.status = 1 and a.fulfillment_status = 1 then 'Pending' end,integer,,
hive.promocard.supercash_task_snapshot_v3,status,status,source,,integer,,
hive.promocard.supercash_task_snapshot_v3,status,status_1,derived,case when a.status = 1 and a.fulfillment_status = 3 then 'Given' when a.status = 1 and a.fulfillment_status = 2 then 'Processing' when a.status = 2 and a.fulfillment_status = 1 then 'Unscratched' when a.status = 1 and a.fulfillment_status = 1 then 'Pending' end,integer,,
hive.promocard.supercash_task_snapshot_v3,updated_at,updated_at,source,,timestamp(3),,
hive.promocard.supercash_task_snapshot_v3,user_id,#Users,derived,count(DISTINCT user_id),"decimal(20,0)",,
hive.promocard.supercash_task_snapshot_v3,user_id,Cashback,derived,count(DISTINCT user_id),"decimal(20,0)",,
hive.promocard.supercash_task_snapshot_v3,user_id,user_id,source,,"decimal(20,0)",,
hive.promocard.supercash_task_snapshot_v3,wallet,wallet,source,,,,
hive.promocod.supercash_task_snapshot_v3,info,scratchCardId,derived,"json_extract_scalar(info, '$.scratchCardId')",,,
hive.promocoda.supercash_task_snapshot_v3,user_id,COUNT_DISTINCT(user_id),derived,count(DISTINCT user_id),,,
