table_name,column_name,variable_type,column_description,required_flag
hive.cdo.fact_upi_transactions_snapshot_v3,amount,double,"The monetary value of individual UPI payment transactions, stored as a double precision decimal number to accommodate various currency denominations and fractional amounts. This field represents the core transaction amount and serves multiple analytical purposes: calculating total transaction amounts, analyzing payment volumes, supporting user engagement metrics in business intelligence dashboards, and enabling comprehensive financial analysis across different reporting contexts. Specifically, the amount contributes to Gross Merchandise Value (GMV) calculations and is used for analyzing payment volume ratios between P2P (peer-to-peer) and P2M (peer-to-merchant) transaction flows. The amount field is fundamental for UPI transaction analytics, allowing aggregation and comparison of payment values across various dimensions in transaction reporting and business intelligence systems.",no
hive.cdo.fact_upi_transactions_snapshot_v3,app_resp_code,varchar,"Application-level response code for UPI transactions that indicates the status or error condition returned by the application layer, used in conjunction with NPCI response codes for comprehensive transaction error tracking and success rate calculations.",N
hive.cdo.fact_upi_transactions_snapshot_v3,category,varchar,"Categorizes UPI transactions by payment flow type, containing values like 'VPA2ACCOUNT' (account transfers), 'VPA2VPA' (peer-to-peer transfers), and 'VPA2MERCHANT' (merchant payments). This field is used to classify transactions as either Person-to-Person (P2P) or Person-to-Merchant (P2M) for business analysis, success rate calculations, transaction segmentation analysis, and user retention metrics across UPI dashboards. The categorization enables comprehensive analysis of transaction patterns, user behavior, and payment flow performance across different transaction types.",N
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id_payer,varchar,"Unique identifier for the customer who initiates or makes the payment (payer) in UPI transactions. This field links each transaction to the specific customer account that initiated the payment, enabling comprehensive customer-level analytics including: payer-level success rate tracking, transaction counts and amounts, daily active users analysis, performance monitoring across different payment flows and geographic regions, and calculation of various customer-level metrics. Additionally used to track payer behavior, calculate monthly active users (MAU), and analyze customer retention patterns across gaming merchants and other business segments. Used across multiple dashboards for tracking payment activity and analyzing payer behavior patterns in UPI transaction processing.",Y
hive.cdo.fact_upi_transactions_snapshot_v3,dl_last_updated,date,"A system date column that tracks when each UPI transaction record was last updated or loaded into the data warehouse/data lake environment. This column is primarily used for filtering recent data and managing incremental data processing in ETL operations, ensuring analysis includes only records refreshed within specific time periods. Key use cases include month-to-date reporting, retention calculations, data freshness validation, and supporting incremental data loading processes across both data warehouse and data lake systems. The column serves as a critical component for data lineage tracking and ensures data quality by enabling filtering of records based on their refresh timestamps. Across dashboards, this field is consistently used for temporal filtering to ensure analyses work with the most current data updates and ETL processing workflows.",Y
hive.cdo.fact_upi_transactions_snapshot_v3,flow_category,varchar,"Categorizes UPI transactions by their payment flow type (e.g., P2P, 3P QR, Paytm QR, Intent, P2M Collect, Mandate_Online, Onus_ExcMandates, Mandate_Onus). This column serves as a fallback classification when specific P2P (peer-to-peer) and P2M (peer-to-merchant) boolean flags are not applicable. Used across dashboards to group transactions into broader business categories including peer-to-peer transfers, scan-and-pay, online payments, and on-us transactions for success rate analysis, payment flow performance tracking, transaction pattern segmentation, and user behavior analysis. The categorization enables comprehensive analysis of UPI transaction flows across different payment methods and business contexts, supporting both operational performance monitoring and strategic business insights.",N
hive.cdo.fact_upi_transactions_snapshot_v3,npci_resp_code,varchar,"Contains the response code returned by NPCI (National Payments Corporation of India) for UPI transactions, indicating the processing status or error conditions at the NPCI network level. This code is used as a fallback error identifier when application-level response codes are not available.",N
hive.cdo.fact_upi_transactions_snapshot_v3,payee_handle,varchar,"The payee_handle column stores the payment service provider identifier or handle of the recipient in UPI transactions, used to categorize transactions by payee PSP (Paytm vs Others) for business analytics and success rate monitoring.",N
hive.cdo.fact_upi_transactions_snapshot_v3,payer_bank_name,varchar,"This column stores the name of the bank associated with the payer (sender) in UPI transactions, used for analyzing transaction success rates and patterns across different payer banks in P2P and P2M payment flows.",N
hive.cdo.fact_upi_transactions_snapshot_v3,payer_handle,varchar,"The payment service provider (PSP) handle or identifier for the entity processing the payment on behalf of the payer in UPI transactions. This field typically contains values like 'paytm', 'ptyes', 'ptaxis' and other PSP identifiers. It is used across dashboards to: (1) categorize and analyze transaction success rates by different PSPs, particularly distinguishing between Paytm-related handles and other payment providers, and (2) filter and analyze transactions based on specific Paytm ecosystem handles to track user activity across different payment channels.",no
hive.cdo.fact_upi_transactions_snapshot_v3,purpose_code,varchar,"A varchar field that stores the purpose code for UPI transactions, indicating the specific reason or category for the transaction (e.g., payment type, transfer purpose) and used for transaction classification and regulatory compliance reporting.",N
hive.cdo.fact_upi_transactions_snapshot_v3,status,varchar,"Represents the transaction status of UPI payments, storing categorical values that indicate whether a transaction was successful, failed, or is in another state. Specific successful status values include 'DEEMED' and 'SUCCESS' which represent successful transaction states. This field indicates the completion status of UPI transactions and is commonly used to filter for completed transactions when calculating key business metrics including transaction success rates, transaction volumes, user engagement, and monitoring payment processing outcomes across different dashboard implementations.",no
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_date_key,date,"A date key that represents the transaction date for UPI transactions, serving as the primary temporal dimension across multiple analytical use cases. This key enables comprehensive time-based filtering and grouping for: (1) success rate calculations and time-based metrics analysis, (2) retention analysis and user engagement pattern measurement, (3) month-to-date reporting and monthly period segmentation, (4) date range filtering for temporal analysis, and (5) data grouping for temporal analysis workflows. The column is consistently used across dashboards for measuring user engagement patterns across monthly periods, enabling precise temporal boundaries critical for measuring user behavior over monthly periods, and supporting comprehensive time-based segmentation of UPI transaction data in both retention analysis workflows and month-to-date reporting scenarios.",Y
