term,type,definition,business_alias
3P Online,Category,"Third-party online merchants and their associated transactions, representing external online service providers","Third-party Online, 3P, Third Party Online"
MTD,Synonym,"Month-to-Date, referring to the time period from the beginning of the current month until the current date",Month-to-Date
LMTD,Synonym,Last Month-to-Date time period representing equivalent timeframe in the previous month for comparison purposes,Last Month-to-Date
MTD Users,Metric,Total count of unique users who performed transactions in the current month-to-date period,
MTD Txns,Metric,Total count of transactions completed in the current month-to-date period,MTD Transactions
MTD Gmv,Metric,Total Gross Merchandise Value of all transactions in the current month-to-date period,MTD Gross Merchandise Value
TPU,Metric / Calculated Field,Transactions Per User calculated as total MTD transactions divided by total MTD users,Transactions Per User
LMTD Users,Metric,Total count of unique users who performed transactions in the last month-to-date period,
LMTD Txns,Metric,Total count of transactions completed in the last month-to-date period,LMTD Transactions
LMTD Gmv,Metric,Total Gross Merchandise Value of all transactions in the last month-to-date period,LMTD Gross Merchandise Value
LMTD TPU,Metric / Calculated Field,Transactions Per User for the last month-to-date period calculated as total LMTD transactions divided by total LMTD users,Last Month-to-Date Transactions Per User
MTD User Growth,Metric / Calculated Field,"Growth rate of users calculated as (MTD Users / LMTD Users) - 1, representing the percentage change in user count",
MTD Txn Growth,Metric / Calculated Field,"Growth rate of transactions calculated as (MTD Transactions / LMTD Transactions) - 1, representing the percentage change in transaction count","MTD Transaction Growth, Month-to-Date Transaction Growth"
MTD Gmv Growth,Metric / Calculated Field,"Growth rate of Gross Merchandise Value calculated as (MTD GMV / LMTD GMV) - 1, representing the percentage change in GMV","Month-to-Date GMV Growth, MTD Gross Merchandise Value Growth"
GMV,Synonym,"Gross Merchandise Value, the total value of all transactions processed through the platform",Gross Merchandise Value
Txns,Synonym,"Transactions, referring to completed payment or purchase activities on the platform",Transactions
Txns(>100),Metric / Calculated Field,"Count of transactions grouped by payee VPA and merchant name, filtered to only include merchants with more than 100 transactions in the current month",Transaction Count (filtered)
payee_vpa,Metric,Virtual Payment Address of the payee or merchant receiving the payment in UPI transactions,"VPA, Virtual Payment Address"
online_merchant_name,Metric,The business name of the online merchant or service provider in the transaction,Merchant Name
