term,type,definition,business_alias
Analyzed %,Metric / Calculated Field,"Percentage of active sessions that progressed to analysis phase, calculated as (Analyzed Sessions / Active Sessions) * 100",Analyzed Percentage
Eval Completed %,Metric / Calculated Field,"Percentage of active sessions where evaluation was completed, calculated as (Sum of eval_completed * 100) divided by Sum of active_sessions",Evaluation Completion Rate
Active Sessions,Metric,Total count of active sessions in the soundbox evaluation system for payout and settlement operations.,
Analyzed Sessions,Metric,Total count of sessions that have been processed through the analysis phase of the MHD evaluation system.,
Eval Completed,Metric,Total count of sessions that have successfully completed the entire wealth evaluation process,
MHD,Category,Mental Health Detection - the overall evaluation system and process for analyzing sessions,Mental Health Detection
CST Entity,Dimension,Customer Support Team entity identifier used to filter data for specific business units or teams.,
AVG Eval Score %,Metric / Calculated Field,"Average evaluation score converted to percentage, calculated as (AVG(avg_eval_score)) * 100, representing overall quality assessment of customer service interactions.",
Bot Containment %,Metric / Calculated Field,"Percentage of customer sessions handled by bot without escalation to human agents. Calculated as (Total Active Sessions - FD Tickets) divided by Total Active Sessions, multiplied by 100.",
MSAT %,Metric / Calculated Field,"Customer satisfaction percentage based on feedback responses, calculated as Happy responses divided by total responses (Happy + Sad) multiplied by 100","Customer Satisfaction Rate, Mean Satisfaction, MSAT also referred as Customer Satisfaction, Customer Satisfaction Percentage, Customer Satisfaction Rate, also referred as MSAT, Customer Satisfaction Score, Mobile Satisfaction Percentage, Mobile Satisfaction"
Bad Eval Share %,Metric / Calculated Field,"Percentage of evaluations that were rated as bad, calculated as (Sum of eval_score_bad * 100) divided by (Sum of eval_score_good + Sum of eval_score_bad)",Bad Evaluation Rate
FD Tickets,Metric,"Count of tickets escalated to human agents (First Desk tickets), representing cases that couldn't be resolved by automated systems.","Front Desk Tickets, FD also referred as Front Desk, First Desk Tickets"
Happy,Metric,Count of positive customer satisfaction responses or ratings indicating satisfied customers.,"Positive Feedback, Positive Responses"
Sad,Metric,Count of negative customer satisfaction responses or ratings indicating dissatisfied customers.,"Negative Responses, Negative Feedback"
Eval Score Good,Metric,Count of positive evaluation scores given to customer service interactions.,Good Evaluations
Eval Score Bad,Metric,Count of negative evaluation scores given to customer service interactions.,Bad Evaluations
Quality Metrics,Category,"Collection of performance indicators measuring service quality including evaluation scores, bot containment, customer satisfaction, and evaluation quality distribution.",Service Quality KPIs
Positive User Sentiment,Metric,Count of positive sentiment responses or interactions from users in the MHD evaluation system,
Negative User Sentiment,Metric,Count of negative sentiment responses or interactions from users in the MHD evaluation system,
Neutral User Sentiment,Metric,Count of neutral sentiment responses or interactions from users in the MHD evaluation system,
Positive Change %,Metric / Calculated Field,"Percentage of positive user sentiment out of total user sentiment, calculated as sum of positive user sentiment divided by total sentiment (positive + negative + neutral) multiplied by 100",
Negative Change %,Metric / Calculated Field,"Percentage of negative user sentiment out of total user sentiment, calculated as sum of negative user sentiment divided by total sentiment (positive + negative + neutral) multiplied by 100",
Neutral Change %,Metric / Calculated Field,"Percentage of neutral user sentiment out of total user sentiment, calculated as sum of neutral user sentiment divided by total sentiment (positive + negative + neutral) multiplied by 100",
User Sentiment Analysis,Category,"Collection of metrics measuring and analyzing user sentiment distribution including positive, negative, and neutral sentiment percentages",Final User Sentiment Analysis
MHD Eval,Category,"Customer service evaluation framework measuring multiple dimensions including empathy, resolution achievement, and response relevance for quality assessment","Mental Health Dashboard Evaluation, MHD, Mobile Handheld Device Evaluation"
positive_user_sentiment,Metric,Count of users expressing positive sentiment towards the evaluated system or service,
negative_user_sentiment,Metric,Count of users expressing negative sentiment towards the evaluated system or service,
neutral_user_sentiment,Metric,Count of users expressing neutral sentiment towards the evaluated system or service,
cst_entity,Dimension,"Entity identifier for different systems or services being evaluated, such as p4bsoundbox and p4bAIBot",
Neutral Change #,Metric,"Count of users who experienced neutral sentiment change, representing users with no significant positive or negative reaction",Neutral Change Count
Positive Change #,Metric,"Sum of positive user sentiment changes aggregated by day, representing users whose sentiment improved or became more favorable.",Positive Change Count
Negative Change #,Metric,"Count of users who experienced negative sentiment change, indicating users with decreased satisfaction or unfavorable reactions",Negative Change Count
User Sentiment,Category,"Collection of metrics measuring changes in user attitudes and feelings, including Positive Change #, Negative Change #, and Neutral Change #.",
Final User Sentiment,Category,"Overall user sentiment analysis metrics including Neutral Change #, Positive Change #, and Negative Change # for tracking user satisfaction changes",User Sentiment Analysis
Avg Empathy Score,Metric / Calculated Field,"Average empathy score across conversations, converted to percentage scale (0-100), measuring how well the AI demonstrates emotional understanding and appropriate responsiveness to customer emotions and concerns.",Average Empathy Score
Avg Resolution Achieved,Metric / Calculated Field,"Average resolution achievement rate for customer service cases, calculated as AVG(avg_resolution_achieved) * 100 to express as a percentage, measuring how effectively issues are resolved",Average Resolution Achieved
Avg Response Relevance,Metric / Calculated Field,"Average relevance score of customer service responses, calculated as AVG(avg_response_relevance_score) * 100 to express as a percentage, measuring how relevant and appropriate responses are to customer inquiries","Average Response Relevance, Avg Response Relevance Score"
Soundbox,Category,AI chatbot or voice assistant system being evaluated for customer service performance,"p4bsoundbox, p4bAIBot"
AI Bot Evaluation Metrics,Category,"Collection of metrics used to assess AI chatbot performance including empathy, resolution achievement, and response relevance",
Soundbox Evaluation,Category,"Evaluation system for soundbox and AI bot customer service interactions, tracking quality metrics across multiple performance dimensions.",
Bot Repetition %,Metric / Calculated Field,"Percentage of completed evaluations where the bot provided repetitive responses, calculated as (agent_response_repetition count / total eval_completed) * 100",Bot Response Repetition Rate
Bot Failed %,Metric / Calculated Field,"Percentage of completed evaluations where the bot failed to execute function calls properly, calculated as (function_call_failed / eval_completed) * 100",Bot Function Failure Rate
Intent Detection Failed %,Metric / Calculated Field,"Percentage of completed evaluations where the bot failed to correctly detect user intent, calculated as (intent_incoherence_count / total eval_completed) * 100",Intent Detection Failure Rate
eval_completed,Metric,Total count of bot evaluations that have been completed and are used as the denominator for performance percentage calculations,
agent_response_repetition,Metric,Count of instances where the bot agent provided repetitive or redundant responses during evaluations,
function_call_failed,Metric,Count of instances where the bot failed to successfully execute required function calls during evaluations,
intent_incoherence_count,Metric,"Count of instances where intent detection was incoherent, failed, or produced incorrect results during evaluations",
Bot Performance Metrics,Category,"Collection of percentage-based metrics measuring different aspects of conversational bot failures including repetition, function failures, and intent detection issues",
Happy Feedback,Metric,Total count of positive customer feedback responses received during sessions.,
Sad Feedback,Metric,Total count of negative customer feedback responses received during sessions.,
Agent Tickets,Metric,Total count of tickets or cases that required human agent intervention or handover.,"Agent Handover Tickets, AH Tickets, AH tickets, AH Tickets, also referred as Agent Handover Tickets"
Service Tickets,Metric,Total count of service tickets created for customer issues or requests,
Feedback Rate %,Metric / Calculated Field,"Percentage of active sessions that provided feedback, calculated as (Happy Feedback + Sad Feedback) divided by Active Sessions multiplied by 100",
Agent Handover %,Metric / Calculated Field,"Percentage of active sessions that required agent intervention, calculated as Agent Tickets divided by Active Sessions multiplied by 100","AH Rate, AH %, Agent Handover Rate"
Service Ticket %,Metric / Calculated Field,"Percentage of active sessions that resulted in service ticket creation, calculated as Service Tickets * 100 / Active Sessions",
Final User Sentiment #,Category,"A grouping of metrics that tracks the count of users experiencing different types of sentiment changes, including neutral, positive, and negative changes.",
Soundbox Eval L1,Category,"Level 1 evaluation system for soundbox customer service interactions, providing summary metrics for quality assessment",
avg_empathy_score,Metric,"Base empathy score metric used in calculations, measuring empathy levels in customer service interactions before percentage conversion.",
avg_resolution_achieved,Metric,"Base resolution achieved metric from the database, representing raw resolution effectiveness scores before percentage conversion",
avg_response_relevance_score,Metric,"Base response relevance score metric from the soundbox evaluation data, used to calculate the average response relevance percentage",
MHD Evaluation Metrics,Category,"Collection of customer service evaluation metrics including empathy scores, resolution achievement, and response relevance used to assess service quality.",MHD Eval
AVG Eval Score,Metric / Calculated Field,"Average evaluation score across all sessions, calculated as Average of avg_eval_score multiplied by 100 to get percentage",Average Evaluation Score
AVG Response Relevance,Metric / Calculated Field,"Average score measuring how relevant LLM responses are to user queries, calculated as Average of avg_response_relevance_score multiplied by 100",Average Response Relevance Score
AVG Empathy Score,Metric / Calculated Field,"Average empathy score of LLM responses, measuring how empathetic the chatbot responses are, expressed as a percentage",Average Empathy Score
+ve Sentiment Change %,Metric / Calculated Field,"Percentage of positive user sentiment changes during conversations, calculated as (Sum of positive_user_sentiment * 100) divided by total sentiment responses","Positive Sentiment Change %, Positive Sentiment Change Rate, Positive Sentiment Change Percentage"
